Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
147, 22.3721, 2, 24, 106728, 263235
148, 21.2535, 2, 25, 106728, 263235
149, 20.1908, 0, 27, 106728, 263235
150, 19.1813, 4, 23, 106728, 263235
151, 18.2222, 1, 26, 106728, 263235
152, 17.3111, 1, 27, 106728, 263235
153, 16.4455, 0, 28, 106728, 263235
154, 15.6233, 2, 26, 106686, 263235
155, 14.8421, 0, 29, 106686, 263235
156, 14.1, 0, 29, 106686, 263235
157, 13.395, 3, 26, 106465, 263235
158, 12.7252, 2, 27, 107142, 258875
159, 12.089, 1, 29, 106711, 258875
160, 11.4845, 3, 27, 106779, 258875
161, 10.9103, 2, 28, 106324, 258875
162, 10.3648, 2, 29, 106324, 258875
163, 9.84655, 0, 31, 106324, 258875
164, 9.35422, 2, 29, 106324, 258875
165, 8.88651, 2, 29, 106324, 258875
166, 8.44218, 0, 32, 106324, 258875
167, 8.02008, 1, 31, 106324, 258875
168, 7.61907, 2, 30, 105369, 258875
169, 7.23812, 1, 32, 105369, 258875
170, 6.87621, 0, 33, 105369, 258875
171, 6.5324, 0, 33, 105369, 258875
172, 6.20578, 0, 34, 105369, 258875
173, 5.89549, 1, 33, 105397, 258875
174, 5.60072, 3, 31, 105401, 258875
175, 5.32068, 2, 33, 105397, 258875
176, 5.05465, 4, 31, 105367, 258875
177, 4.80192, 2, 33, 105367, 258875
178, 4.56182, 4, 32, 105680, 258875
179, 4.33373, 2, 34, 105133, 253970
180, 4.11704, 3, 33, 104531, 253970
181, 3.91119, 1, 36, 104531, 253970
182, 3.71563, 3, 34, 104531, 253970
183, 3.52985, 0, 38, 104531, 253970
184, 3.35336, 2, 36, 104531, 253970
185, 3.18569, 3, 35, 104140, 253970
186, 3.0264, 2, 37, 104069, 253970
187, 2.87508, 2, 37, 104057, 253970
188, 2.73133, 4, 35, 104057, 253970
189, 2.59476, 2, 38, 104547, 253425
190, 2.46503, 5, 35, 104487, 253425
191, 2.34177, 2, 39, 104487, 253425
192, 2.22469, 2, 39, 103873, 251100
193, 2.11345, 2, 39, 103873, 251100
194, 2.00778, 4, 38, 103885, 251100
195, 1.90739, 2, 40, 103885, 251100
196, 1.81202, 2, 41, 103885, 251100
197, 1.72142, 2, 41, 103885, 251100
198, 1.63535, 4, 40, 103662, 251100
199, 1.55358, 2, 42, 103662, 251100
200, 1.4759, 4, 40, 103662, 251100
201, 1.40211, 2, 43, 104976, 248940
202, 1.332, 0, 45, 104976, 248940
203, 1.2654, 2, 44, 104976, 248940
204, 1.20213, 3, 43, 104964, 248940
205, 1.14202, 0, 47, 104964, 248940
206, 1.08492, 4, 43, 104198, 248940
207, 1.03068, 0, 48, 104198, 248940
208, 0.979143, 2, 46, 104068, 248940
209, 0.930186, 0, 49, 104068, 248940
210, 0.883677, 0, 49, 104068, 248940
211, 0.839493, 1, 48, 104068, 248940
212, 0.797518, 0, 50, 104068, 248940
213, 0.757642, 3, 47, 104068, 248940
214, 0.71976, 1, 50, 104068, 248940
215, 0.683772, 0, 51, 104068, 248940
216, 0.649584, 4, 48, 104032, 248940
217, 0.617105, 1, 51, 104032, 248940
218, 0.586249, 1, 52, 103895, 248940
219, 0.556937, 4, 50, 103895, 248940
220, 0.52909, 1, 53, 103895, 248940
221, 0.502635, 2, 53, 103903, 248940
222, 0.477504, 2, 53, 103787, 248940
223, 0.453629, 1, 55, 103746, 248940
224, 0.430947, 1, 55, 103746, 248940
225, 0.4094, 2, 55, 103743, 248940
226, 0.38893, 0, 57, 103743, 248940
227, 0.369483, 3, 55, 103743, 248940
228, 0.351009, 2, 56, 103743, 248940
229, 0.333459, 3, 56, 103743, 248940
230, 0.316786, 2, 58, 103743, 248940
231, 0.300946, 4, 56, 103743, 248940
232, 0.285899, 2, 59, 103743, 248940
233, 0.271604, 2, 59, 103743, 248940
234, 0.258024, 0, 62, 103743, 248940
235, 0.245123, 3, 60, 103395, 244791
236, 0.232867, 5, 58, 103395, 244791
237, 0.221223, 3, 61, 103395, 244791
238, 0.210162, 2, 63, 103395, 244791
239, 0.199654, 1, 64, 103395, 244791
240, 0.189671, 5, 61, 103395, 244791
241, 0.180188, 3, 64, 102915, 244791
242, 0.171178, 0, 67, 102915, 244791
243, 0.162619, 2, 66, 102915, 244791
244, 0.154488, 4, 65, 102915, 244791
245, 0.146764, 5, 64, 102393, 244791
246, 0.139426, 2, 68, 102393, 244791
247, 0.132455, 5, 66, 103547, 240642
248, 0.125832, 5, 66, 102901, 239259
249, 0.11954, 1, 71, 102901, 239259
250, 0.113563, 6, 67, 103623, 238337
251, 0.107885, 4, 69, 103623, 238337
252, 0.102491, 3, 71, 103563, 238337
253, 0.0973663, 3, 72, 103563, 238337
254, 0.092498, 0, 76, 103563, 238337
255, 0.0878731, 2, 74, 103563, 238337
256, 0.0834794, 4, 73, 103563, 238337
257, 0.0793054, 3, 75, 103563, 238337
258, 0.0753402, 0, 79, 103563, 238337
259, 0.0715732, 2, 77, 103563, 238337
260, 0.0679945, 3, 77, 103491, 238337
261, 0.0645948, 2, 79, 103491, 238337
262, 0.061365, 3, 79, 103491, 238337
263, 0.0582968, 4, 79, 103491, 238337
264, 0.0553819, 5, 78, 103491, 238337
