Iteration, Temperature, AcceptedMoves, RejectedMoves, Wirelength(HPWL), Area
147, 22.3721, 2, 24, 391101, 341298
148, 21.2535, 0, 27, 391101, 341298
149, 20.1908, 3, 24, 388771, 335775
150, 19.1813, 0, 27, 388771, 335775
151, 18.2222, 0, 27, 388771, 335775
152, 17.3111, 2, 26, 388293, 333684
153, 16.4455, 1, 27, 388122, 344448
154, 15.6233, 3, 25, 387262, 345383
155, 14.8421, 3, 26, 385485, 345383
156, 14.1, 1, 28, 385287, 340262
157, 13.395, 0, 29, 385287, 340262
158, 12.7252, 1, 28, 385123, 340262
159, 12.089, 2, 28, 384481, 340262
160, 11.4845, 1, 29, 384481, 340262
161, 10.9103, 2, 28, 384233, 340831
162, 10.3648, 1, 30, 384233, 340831
163, 9.84655, 3, 28, 384233, 340831
164, 9.35422, 1, 30, 384233, 340831
165, 8.88651, 0, 31, 384233, 340831
166, 8.44218, 2, 30, 384233, 340831
167, 8.02008, 1, 31, 383510, 356405
168, 7.61907, 1, 31, 383510, 356405
169, 7.23812, 2, 31, 382724, 336039
170, 6.87621, 2, 31, 381363, 332673
171, 6.5324, 1, 32, 380242, 332673
172, 6.20578, 0, 34, 380242, 332673
173, 5.89549, 1, 33, 379976, 330429
174, 5.60072, 1, 33, 379717, 341031
175, 5.32068, 1, 34, 379640, 340442
176, 5.05465, 1, 34, 379640, 340442
177, 4.80192, 1, 34, 379568, 340442
178, 4.56182, 0, 36, 379568, 340442
179, 4.33373, 0, 36, 379568, 340442
180, 4.11704, 2, 34, 379568, 340442
181, 3.91119, 0, 37, 379568, 340442
182, 3.71563, 4, 33, 377716, 323361
183, 3.52985, 0, 38, 377716, 323361
184, 3.35336, 1, 37, 377477, 325008
185, 3.18569, 0, 38, 377477, 325008
186, 3.0264, 1, 38, 377477, 325008
187, 2.87508, 0, 39, 377477, 325008
188, 2.73133, 1, 38, 377160, 328560
189, 2.59476, 3, 37, 375255, 335664
190, 2.46503, 3, 37, 374728, 335664
191, 2.34177, 0, 41, 374728, 335664
192, 2.22469, 0, 41, 374728, 335664
193, 2.11345, 1, 40, 374584, 336798
194, 2.00778, 2, 40, 374248, 336798
195, 1.90739, 1, 41, 374031, 336798
196, 1.81202, 2, 41, 373644, 336798
197, 1.72142, 0, 43, 373644, 336798
198, 1.63535, 3, 41, 372837, 335016
199, 1.55358, 2, 42, 371852, 335016
200, 1.4759, 1, 43, 371852, 335016
201, 1.40211, 1, 44, 371852, 335016
202, 1.332, 1, 44, 371368, 337392
203, 1.2654, 5, 41, 369520, 325872
204, 1.20213, 0, 46, 369520, 325872
205, 1.14202, 2, 45, 369520, 325872
206, 1.08492, 2, 45, 367743, 319734
207, 1.03068, 1, 47, 367513, 319734
208, 0.979143, 0, 48, 367513, 319734
209, 0.930186, 3, 46, 366206, 319734
210, 0.883677, 0, 49, 366206, 319734
211, 0.839493, 1, 48, 365720, 319734
212, 0.797518, 2, 48, 365720, 319734
213, 0.757642, 0, 50, 365720, 319734
214, 0.71976, 1, 50, 365720, 319734
215, 0.683772, 0, 51, 365720, 319734
216, 0.649584, 3, 49, 365535, 315840
217, 0.617105, 3, 49, 365438, 320352
218, 0.586249, 1, 52, 365438, 320352
219, 0.556937, 5, 49, 364747, 326556
220, 0.52909, 2, 52, 364393, 327120
221, 0.502635, 4, 51, 363671, 327120
222, 0.477504, 1, 54, 363552, 327120
223, 0.453629, 4, 52, 362861, 325380
224, 0.430947, 3, 53, 362769, 325380
225, 0.4094, 1, 56, 362719, 325380
226, 0.38893, 4, 53, 362235, 323136
227, 0.369483, 0, 58, 362235, 323136
228, 0.351009, 1, 57, 362235, 323136
229, 0.333459, 2, 57, 362234, 323136
230, 0.316786, 1, 59, 362183, 323136
231, 0.300946, 1, 59, 361822, 323136
232, 0.285899, 0, 61, 361822, 323136
233, 0.271604, 1, 60, 361701, 323136
234, 0.258024, 5, 57, 361149, 323136
235, 0.245123, 1, 62, 360578, 321984
236, 0.232867, 2, 61, 360565, 321984
237, 0.221223, 0, 64, 360565, 321984
238, 0.210162, 1, 64, 360565, 321984
239, 0.199654, 2, 63, 360171, 324288
240, 0.189671, 1, 65, 359673, 332352
241, 0.180188, 0, 67, 359673, 332352
242, 0.171178, 0, 67, 359673, 332352
243, 0.162619, 3, 65, 359597, 332352
244, 0.154488, 0, 69, 359597, 332352
245, 0.146764, 0, 69, 359597, 332352
246, 0.139426, 2, 68, 359412, 331775
247, 0.132455, 0, 71, 359412, 331775
248, 0.125832, 3, 68, 359242, 327120
249, 0.11954, 3, 69, 358123, 315172
250, 0.113563, 1, 72, 358123, 315172
251, 0.107885, 2, 71, 358123, 315172
252, 0.102491, 0, 74, 358123, 315172
253, 0.0973663, 3, 72, 358077, 315172
254, 0.092498, 1, 75, 358077, 315172
255, 0.0878731, 3, 73, 357919, 315172
256, 0.0834794, 1, 76, 357919, 315172
257, 0.0793054, 1, 77, 357479, 315172
258, 0.0753402, 1, 78, 357479, 315172
259, 0.0715732, 1, 78, 357465, 315723
260, 0.0679945, 2, 78, 357465, 315723
261, 0.0645948, 1, 80, 357465, 315723
262, 0.061365, 1, 81, 357211, 315723
263, 0.0582968, 2, 81, 357014, 315723
264, 0.0553819, 1, 82, 357014, 315723
265, 0.0526128, 4, 80, 356274, 313431
266, 0.0499822, 0, 85, 356274, 313431
267, 0.0474831, 5, 81, 356007, 313431
268, 0.0451089, 5, 82, 355548, 315723
269, 0.0428535, 0, 88, 355548, 315723
270, 0.0407108, 1, 88, 355519, 315723
271, 0.0386753, 2, 87, 355519, 315723
272, 0.0367415, 2, 88, 354871, 315723
273, 0.0349044, 3, 88, 354857, 315723
274, 0.0331592, 6, 86, 353532, 318588
275, 0.0315013, 3, 90, 352023, 319700
276, 0.0299262, 2, 92, 351654, 319700
277, 0.0284299, 2, 93, 351654, 319700
278, 0.0270084, 1, 95, 351654, 319700
279, 0.025658, 4, 93, 351331, 319700
280, 0.0243751, 2, 96, 351138, 319700
281, 0.0231563, 3, 96, 350789, 319700
282, 0.0219985, 2, 98, 350372, 319700
283, 0.0208986, 5, 96, 350372, 319700
284, 0.0198536, 9, 93, 350222, 319700
285, 0.018861, 2, 101, 350212, 319700
286, 0.0179179, 2, 102, 350212, 319700
287, 0.017022, 5, 100, 350048, 326612
288, 0.0161709, 5, 101, 349575, 327754
289, 0.0153624, 2, 105, 349559, 324324
290, 0.0145943, 6, 102, 349253, 324324
291, 0.0138645, 1, 108, 349253, 324324
292, 0.0131713, 4, 106, 349151, 324324
293, 0.0125127, 8, 103, 348168, 315262
294, 0.0118871, 1, 111, 348123, 315262
295, 0.0112928, 5, 108, 347565, 315262
296, 0.0107281, 3, 112, 347055, 315262
297, 0.0101917, 4, 112, 347055, 315262
